"day","location","date","month","year","hour","min","PORNOGRAPHYOBSCENEMAT"
2,2,28,5,2013,18,44,1
4,2,23,8,2012,16,35,1
7,2,18,12,2011,3,0,1
1,10,25,7,2011,8,0,1
2,3,28,12,2010,17,56,1
3,5,6,10,2010,12,0,1
4,5,25,3,2010,21,0,1
4,5,10,7,2008,8,40,1
5,1,7,9,2007,2,10,1
2,3,4,9,2007,14,0,1
1,9,19,3,2007,14,0,1
3,1,1,11,2006,2,8,1
4,5,5,10,2006,12,0,1
3,5,9,8,2006,11,0,1
5,4,7,10,2005,11,30,1
6,9,26,3,2005,18,30,1
7,9,27,2,2005,21,0,1
7,2,27,2,2005,9,45,1
5,9,26,11,2004,22,0,1
4,4,19,8,2004,14,38,1
5,7,6,8,2004,9,30,1
1,4,15,9,2003,16,35,1
4,5,9,2,2006,22,0,0
1,2,23,7,2007,2,47,0
3,2,10,12,2008,15,20,0
5,4,10,1,2003,9,35,0
6,9,4,6,2005,14,0,0
6,4,18,5,2013,22,55,0
4,4,1,11,2007,11,0,0
6,10,21,4,2007,18,25,0
6,8,9,4,2005,20,0,0
7,5,21,5,2006,12,0,0
3,5,13,12,2006,8,0,0
4,1,26,7,2012,9,10,0
4,3,21,8,2008,11,50,0
3,10,3,5,2006,11,45,0
4,3,28,5,2009,7,0,0
7,5,10,2,2008,15,0,0
4,5,23,8,2007,7,0,0
5,9,29,5,2009,10,0,0
1,5,27,9,2004,13,53,0
1,3,13,10,2014,1,30,0
4,10,6,2,2014,4,0,0
3,8,25,6,2003,11,40,0
4,4,30,6,2011,18,0,0
1,10,18,8,2008,21,30,0
3,2,19,8,2009,20,20,0
4,2,27,5,2004,10,30,0
4,5,1,4,2004,0,1,0
5,1,9,4,2010,23,0,0
1,4,22,8,2005,9,30,0
2,5,15,5,2007,10,0,0
5,4,20,3,2009,20,16,0
4,8,7,8,2003,1,0,0
6,1,23,8,2008,22,30,0
3,2,19,3,2003,14,20,0
6,1,14,12,2013,0,3,0
7,9,8,9,2013,16,15,0
5,1,3,10,2014,18,0,0
2,4,3,5,2011,23,35,0
1,4,2,2,2015,15,50,0
7,9,18,6,2006,8,18,0
6,9,15,7,2006,10,0,0
3,3,13,7,2011,22,12,0
6,7,1,11,2008,16,20,0
3,10,14,11,2007,10,55,0
4,8,9,3,2006,10,0,0
4,2,2,4,2009,15,13,0
3,2,5,10,2005,0,15,0
3,4,31,10,2007,22,0,0
1,5,1,9,2014,22,0,0
6,5,14,1,2006,9,0,0
7,2,24,8,2003,12,30,0
7,9,1,7,2007,0,1,0
7,9,9,5,2010,23,32,0
6,2,12,6,2004,20,30,0
7,3,2,12,2012,22,0,0
5,5,29,11,2013,2,30,0
5,9,3,11,2006,9,10,0
4,9,14,6,2007,18,30,0
7,6,1,1,2012,17,15,0
3,1,5,4,2006,4,19,0
5,2,25,7,2014,18,5,0
2,2,5,8,2008,20,0,0
4,3,11,2,2010,10,30,0
7,10,16,1,2005,11,5,0
7,4,6,10,2013,14,30,0
3,4,27,6,2007,18,0,0
1,2,27,4,2015,23,0,0
4,3,30,4,2015,10,9,0
3,4,3,9,2014,22,30,0
5,9,14,5,2004,16,30,0
5,7,22,4,2005,12,0,0
5,2,26,3,2010,11,0,0
3,1,21,3,2007,21,0,0
3,8,9,7,2008,12,0,0
4,3,25,12,2003,6,22,0
1,1,1,9,2008,0,1,0
6,7,18,10,2008,17,40,0
7,6,20,5,2012,10,38,0
3,8,30,4,2008,23,8,0
3,3,30,11,2005,19,30,0
6,3,21,8,2004,3,50,0
3,2,20,9,2006,18,50,0
3,2,18,3,2009,13,0,0
3,10,1,4,2009,17,30,0
1,4,11,5,2015,19,0,0
6,5,29,1,2011,21,30,0
1,2,3,9,2007,21,37,0
6,10,26,7,2008,4,14,0
6,9,5,11,2005,2,54,0
7,2,14,7,2013,11,20,0
4,2,4,11,2010,10,30,0
7,4,1,6,2003,0,1,0
5,2,26,1,2007,18,20,0
3,1,18,10,2006,13,0,0
6,1,17,4,2004,23,0,0
3,5,31,10,2007,18,30,0
7,2,8,2,2015,21,17,0
4,2,23,2,2012,21,0,0
4,1,9,2,2006,2,30,0
3,7,16,11,2005,17,0,0
5,10,9,3,2012,12,0,0
4,5,27,11,2003,11,1,0
1,8,20,9,2010,11,0,0
4,1,16,6,2005,22,0,0
4,9,9,2,2012,14,30,0
2,9,24,6,2008,22,0,0
3,4,28,4,2004,22,20,0
4,7,12,7,2007,18,0,0
1,2,28,4,2008,15,0,0
3,4,11,12,2013,16,0,0
